Name SMILES logPalk ClogPalk logPcorr MSA/Ang**2 solvent ref
TrainData_051 CC(=O)C -0.91 -0.954 3.720 90.458 alk jpharmsci.1994.1085
TrainData_051 CC(=O)C -0.96 -0.954 3.720 90.458 cyc jpharmsci.1994.1085
TrainData_051 CC(=O)C -1.09 -0.954 3.720 90.458 hxd jpharmsci.1994.1085
TrainData_052 CC(=O)Cc1ccccc1 0.98 0.320 5.001 165.588 alk perkin2.1992.723
TrainData_053 CC(=O)N -4.68 -4.719 7.280 84.444 hxd jgenphysiol.1976.127
TrainData_053 CC(=O)N -4.88 -4.719 7.280 84.444 cyc jpharmsci.1994.1085
TrainData_054 CC(=O)N(C)c1ccccc1 -0.4 -0.084 5.651 172.848 alk perkin2.1992.723
TrainData_054 CC(=O)N(C)c1ccccc1 -0.54 -0.084 5.651 172.848 hxd jmedchem.2008.3720
TrainData_055 CC(=O)N1CCCC1 -2.24 -2.238 6.770 142.401 chx jacs1991.113.4714
TrainData_056 CC(=O)Nc1ccccc1 -1.31 -1.508 6.601 158.908 cyc jpharmsci.1994.1085
TrainData_056 CC(=O)Nc1ccccc1 -1.37 -1.508 6.601 158.908 chx intjmolsci.2005.119
TrainData_056 CC(=O)Nc1ccccc1 -1.7 -1.508 6.601 158.908 alk perkin2.1992.723
TrainData_057 CC(=O)O -3.05 -3.112 5.520 79.934 cyc jpharmsci.1994.1085
TrainData_057 CC(=O)O -3.06 -3.112 5.520 79.934 alk jpharmsci.1994.1085
TrainData_057 CC(=O)O -3.16 -3.112 5.520 79.934 hxd jpharmsci.1994.1085
TrainData_058 CC(=O)OC -0.19 -0.419 3.520 100.323 cyc jpharmsci.1994.1085
TrainData_058 CC(=O)OC -0.20 -0.419 3.520 100.323 alk jpharmsci.1994.1085
TrainData_058 CC(=O)OC -0.39 -0.419 3.520 100.323 hxd jpharmsci.1994.1085
TrainData_059 CC(=O)Oc1ccccc1 1.13 1.126 3.931 157.828 alk perkin2.1992.723
TrainData_060 CC(=O)c1ccccc1 0.96 1.139 3.471 144.703 hxd jmedchem.2008.3720
TrainData_060 CC(=O)c1ccccc1 1.1 1.139 3.471 144.703 alk perkin2.1992.723
TrainData_060 CC(=O)c1ccccc1 1.14 1.139 3.471 144.703 hxd jpharmsci.1994.1085
TrainData_060 CC(=O)c1ccccc1 1.27 1.139 3.471 144.703 cyc jpharmsci.1994.1085
TrainData_061 CC(C)(C)Br 3.24 3.785 0.000 120.429 hxd jpharmsci.1994.1085
TrainData_062 CC(C)(C)C 3.66 3.742 0.000 119.167 hxd jpharmsci.1994.1085
TrainData_063 CC(C)(C)CO -0.35 -0.467 4.480 127.126 alk jpharmsci.1994.1085
TrainData_064 CC(C)(C)Cl 3.02 3.657 0.000 116.669 hxd jpharmsci.1994.1085
TrainData_065 CC(C)(C)N -0.82 -0.637 4.230 114.777 alk jpharmsci.1994.1085
TrainData_066 CC(C)(C)O -1.15 -0.997 4.480 111.562 cyc jpharmsci.1994.1085
TrainData_066 CC(C)(C)O -1.18 -0.997 4.480 111.562 alk jpharmsci.1994.1085
TrainData_066 CC(C)(C)O -1.32 -0.997 4.480 111.562 hxd jpharmsci.1994.1085
TrainData_067 CC(C)(C)c1ccncc1 1.48 1.614 3.728 166.230 hxd perkin2.1990.291
TrainData_068 CC(C)Br 2.04 2.188 1.090 105.515 hxd jpharmsci.1994.1085
TrainData_069 CC(C)C 3.11 3.236 0.000 104.296 hxd jpharmsci.1994.1085
TrainData_069 CC(C)C 3.62 3.236 0.000 104.296 chx biochem.1988.27.1644
TrainData_070 CC(C)C(=O)C 0.31 0.204 3.720 124.525 hxd jpharmsci.1994.1085
TrainData_071 CC(C)C(=O)N -3.43 -3.548 7.280 118.866 hxd jgenphysiol.1976.127
TrainData_072 CC(C)C(C)C 4.22 4.262 0.000 134.454 hxd jpharmsci.1994.1085
TrainData_073 CC(C)C(C)C(C)C 5.36 5.262 0.000 163.866 hxd jpharmsci.1994.1085
TrainData_074 CC(C)C=C 3.25 3.108 0.579 117.543 hxd jpharmsci.1994.1085
TrainData_075 CC(C)C=O 0.02 -0.044 3.380 107.240 hxd jpharmsci.1994.1085
TrainData_076 CC(C)CBr 2.94 2.769 1.090 122.619 hxd jpharmsci.1994.1085
TrainData_077 CC(C)CC(=O)C 0.85 0.766 3.720 141.052 hxd jpharmsci.1994.1085
TrainData_078 CC(C)CC(=O)O -1.33 -1.306 5.520 133.041 hxd jpharmsci.1994.1085
TrainData_079 CC(C)CC(C)(C)C 5.28 5.311 0.000 165.334 hxd jpharmsci.1994.1085
TrainData_080 CC(C)CC(C)C 4.89 4.917 0.000 153.725 hxd jpharmsci.1994.1085
TrainData_081 CC(C)CC(C)O 0.44 0.172 4.480 145.923 hxd jpharmsci.1994.1085
TrainData_082 CC(C)CCO -0.23 -0.332 4.480 131.123 hxd jpharmsci.1994.1085
TrainData_082 CC(C)CCO -0.30 -0.332 4.480 131.123 alk jpharmsci.1994.1085
TrainData_083 CC(C)CCOC(=O)C 2.12 2.050 3.520 172.927 hxd jpharmsci.1994.1085
TrainData_084 CC(C)CCOC(=O)C(C)C 2.64 3.248 3.520 208.167 hxd perkin2.1990.291
TrainData_085 CC(C)CCOC=O 1.75 1.796 3.100 153.124 hxd jpharmsci.1994.1085
TrainData_086 CC(C)CN -0.51 -0.547 4.230 117.420 alk jpharmsci.1994.1085
TrainData_087 CC(C)CO -0.60 -0.927 4.480 113.624 alk jpharmsci.1994.1085
TrainData_087 CC(C)CO -0.85 -0.927 4.480 113.624 cyc jpharmsci.1994.1085
TrainData_087 CC(C)CO -0.89 -0.927 4.480 113.624 hxd jpharmsci.1994.1085
TrainData_088 CC(C)COC(=O)C 1.43 1.468 3.520 155.819 hxd jpharmsci.1994.1085
TrainData_089 CC(C)COC(=O)C(C)C 2.65 2.660 3.520 190.895 hxd jpharmsci.1994.1085
TrainData_090 CC(C)COC=O 1.16 1.199 3.100 135.567 hxd jpharmsci.1994.1085
TrainData_091 CC(C)Cc1ccccc1 4.62 4.383 1.281 175.679 hxd jpharmsci.1994.1085
TrainData_092 CC(C)Cl 1.79 1.868 1.260 101.108 hxd jpharmsci.1994.1085
TrainData_093 CC(C)N(=O)=O 0.25 0.283 3.210 111.847 hxd jpharmsci.1994.1085
TrainData_094 CC(C)NC(C)C 0.53 0.656 4.170 151.057 hxd jpharmsci.1994.1085
TrainData_094 CC(C)NC(C)C 0.78 0.656 4.170 151.057 alk jpharmsci.1994.1085
TrainData_095 CC(C)O -1.49 -1.537 4.480 95.674 alk jpharmsci.1994.1085
TrainData_095 CC(C)O -1.72 -1.537 4.480 95.674 hxd jpharmsci.1994.1085
TrainData_096 CC(C)OC(=O)C 0.61 0.820 3.520 136.753 hxd jpharmsci.1994.1085
TrainData_097 CC(C)OC(=O)c1ccccc1 2.57 2.940 3.291 192.361 alk perkin2.1992.723
TrainData_098 CC(C)OC(C)C 2.09 1.829 2.960 149.954 hxd jpharmsci.1994.1085
TrainData_099 CC(C)OC=O 0.75 0.565 3.100 116.916 hxd jpharmsci.1994.1085
TrainData_100 CC(C)SC(C)C 2.71 3.204 1.850 157.751 hxd jpharmsci.1994.1085
TrainData_101 CC(C)c1ccc(cc1)O 0.77 0.896 4.501 167.849 cyc jpharmsci.1994.1085
TrainData_102 CC(C)c1ccccc1 3.86 3.817 1.281 159.033 hxd jpharmsci.1994.1085
TrainData_103 CC(CCl)Cl 1.93 1.730 1.860 114.709 hxd jpharmsci.1994.1085
TrainData_104 CC(Cl)(Cl)Cl 2.59 3.476 0.000 111.335 hxd jpharmsci.1994.1085
TrainData_105 CC(Cl)Cl 1.70 1.774 1.260 98.334 hxd jpharmsci.1994.1085
TrainData_106 CC/C=C\C 3.17 3.144 0.579 118.606 hxd jpharmsci.1994.1085
TrainData_107 CC1=CCCCC1 3.97 3.778 0.579 137.263 hxd jpharmsci.1994.1085
TrainData_108 CC1CCCC1 3.99 3.975 0.000 126.033 hxd jpharmsci.1994.1085
TrainData_109 CC1CCCCC1 4.49 4.438 0.000 139.643 hxd jpharmsci.1994.1085
TrainData_110 CC1CCCO1 0.40 0.777 2.960 119.029 hxd jpharmsci.1994.1085
TrainData_111 CC=C 1.92 1.867 0.579 81.054 hxd jpharmsci.1994.1085
TrainData_112 CC=C(C)C 3.22 3.114 0.579 117.726 hxd jpharmsci.1994.1085
TrainData_113 CC=O -1.34 -1.266 3.380 71.287 hxd jpharmsci.1994.1085
TrainData_114 CCBr 1.58 1.594 1.090 88.056 hxd jpharmsci.1994.1085
TrainData_115 CCC 2.49 2.667 0.000 87.535 hxd jpharmsci.1994.1085
TrainData_115 CCC 2.73 2.667 0.000 87.535 alk jpharmsci.1994.1085
TrainData_115 CCC 2.79 2.667 0.000 87.535 cyc jpharmsci.1994.1085
TrainData_116 CCC#C 1.40 1.444 1.474 94.922 hxd jpharmsci.1994.1085
TrainData_117 CCC#N -0.74 -0.690 3.390 88.532 hxd jpharmsci.1994.1085
TrainData_118 CCC(=O)C -0.25 -0.331 3.720 108.786 cyc jpharmsci.1994.1085
TrainData_118 CCC(=O)C -0.26 -0.331 3.720 108.786 alk jpharmsci.1994.1085
TrainData_118 CCC(=O)C -0.43 -0.331 3.720 108.786 hxd jpharmsci.1994.1085
TrainData_119 CCC(=O)CC 0.31 0.305 3.720 127.501 hxd jpharmsci.1994.1085
TrainData_120 CCC(=O)N -4.07 -4.085 7.280 103.090 cyc jpharmsci.1994.1085
TrainData_121 CCC(=O)O -2.23 -2.467 5.520 98.894 alk jpharmsci.1994.1085
TrainData_121 CCC(=O)O -2.40 -2.467 5.520 98.894 cyc jpharmsci.1994.1085
TrainData_121 CCC(=O)O -2.45 -2.467 5.520 98.894 hxd jpharmsci.1994.1085
TrainData_122 CCC(=O)OC 0.28 0.216 3.520 118.980 hxd jpharmsci.1994.1085
TrainData_122 CCC(=O)OC 0.50 0.216 3.520 118.980 alk jpharmsci.1994.1085
TrainData_122 CCC(=O)OC 0.57 0.216 3.520 118.980 cyc jpharmsci.1994.1085
TrainData_123 CCC(=O)OC(C)C 1.40 1.442 3.520 155.042 hxd perkin2.1990.291
TrainData_124 CCC(=O)OCC 0.84 0.902 3.520 139.167 hxd jpharmsci.1994.1085
TrainData_125 CCC(=O)c1ccccc1 2.02 1.767 3.471 163.161 cyc jpharmsci.1994.1085
TrainData_126 CCC(C(C)C)O 0.39 0.111 4.480 144.139 hxd jpharmsci.1994.1085
TrainData_127 CCC(C)(C)C 4.19 4.235 0.000 133.664 hxd jpharmsci.1994.1085
TrainData_128 CCC(C)(C)CC 4.83 4.707 0.000 147.561 hxd jpharmsci.1994.1085
TrainData_129 CCC(C)(C)O -0.62 -0.454 4.480 127.515 hxd jpharmsci.1994.1085
TrainData_130 CCC(C)C 3.76 3.810 0.000 121.183 hxd jpharmsci.1994.1085
TrainData_131 CCC(C)C(C)C 4.87 4.797 0.000 150.203 hxd jpharmsci.1994.1085
TrainData_132 CCC(C)CC 4.42 4.379 0.000 137.897 hxd jpharmsci.1994.1085
TrainData_133 CCC(C)CO -0.23 -0.395 4.480 129.273 hxd jpharmsci.1994.1085
TrainData_134 CCC(C)Cl 2.54 2.474 1.260 118.923 hxd jpharmsci.1994.1085
TrainData_135 CCC(C)N -0.62 -0.555 4.230 117.187 alk jpharmsci.1994.1085
TrainData_136 CCC(C)O -0.80 -0.915 4.480 113.967 alk jpharmsci.1994.1085
TrainData_136 CCC(C)O -0.96 -0.915 4.480 113.967 cyc jpharmsci.1994.1085
TrainData_136 CCC(C)O -1.05 -0.915 4.480 113.967 hxd jpharmsci.1994.1085
TrainData_137 CCC(CC)(CC)CC 5.45 5.653 0.000 175.369 hxd perkin2.1990.291
TrainData_138 CCC(CC)O -0.33 -0.322 4.480 131.396 hxd jpharmsci.1994.1085
TrainData_139 CCC(Cl)Cl 1.92 2.328 1.260 114.625 hxd perkin2.1990.291
TrainData_140 CCC=C 2.50 2.532 0.579 100.619 hxd jpharmsci.1994.1085
TrainData_141 CCC=O -0.71 -0.627 3.380 90.078 hxd jpharmsci.1994.1085
TrainData_142 CCCBr 2.21 2.246 1.090 107.226 hxd jpharmsci.1994.1085
TrainData_143 CCCC 3.13 3.318 0.000 106.690 hxd jpharmsci.1994.1085
TrainData_143 CCCC 3.38 3.318 0.000 106.690 alk jpharmsci.1994.1085
TrainData_143 CCCC 3.62 3.318 0.000 106.690 cyc jpharmsci.1994.1085
TrainData_144 CCCC#C 2.02 2.091 1.474 113.966 hxd jpharmsci.1994.1085
TrainData_145 CCCC#N -0.12 -0.045 3.390 107.495 hxd jpharmsci.1994.1085
TrainData_146 CCCC(=C)C 3.62 3.733 0.579 135.928 hxd jpharmsci.1994.1085
TrainData_147 CCCC(=O)C 0.18 0.320 3.720 127.938 hxd jpharmsci.1994.1085
TrainData_147 CCCC(=O)C 0.34 0.320 3.720 127.938 alk jpharmsci.1994.1085
TrainData_147 CCCC(=O)C 0.44 0.320 3.720 127.938 cyc jpharmsci.1994.1085
TrainData_148 CCCC(=O)CCC 1.57 1.596 3.720 165.460 hxd jpharmsci.1994.1085
TrainData_149 CCCC(=O)N -3.44 -3.442 7.280 121.989 hxd jgenphysiol.1976.127
TrainData_150 CCCC(=O)O -1.70 -1.819 5.520 117.958 alk jpharmsci.1994.1085
TrainData_150 CCCC(=O)O -1.76 -1.819 5.520 117.958 cyc jpharmsci.1994.1085
TrainData_150 CCCC(=O)O -1.83 -1.819 5.520 117.958 hxd jpharmsci.1994.1085
TrainData_151 CCCC(=O)OC 0.81 0.857 3.520 137.841 hxd jpharmsci.1994.1085
TrainData_152 CCCC(=O)OCC 1.44 1.537 3.520 157.856 hxd jpharmsci.1994.1085
TrainData_153 CCCC(=O)OCCC 2.11 2.193 3.520 177.139 hxd jpharmsci.1994.1085
TrainData_154 CCCC(C)(C)C 4.91 4.875 0.000 152.491 hxd jpharmsci.1994.1085
TrainData_155 CCCC(C)(C)O 0.20 0.186 4.480 146.354 hxd jpharmsci.1994.1085
TrainData_156 CCCC(C)C 4.34 4.448 0.000 139.935 hxd jpharmsci.1994.1085
TrainData_157 CCCC(C)CC 5.03 4.924 0.000 153.932 hxd jpharmsci.1994.1085
TrainData_158 CCCC(C)O -0.27 -0.264 4.480 133.098 alk jpharmsci.1994.1085
TrainData_158 CCCC(C)O -0.38 -0.264 4.480 133.098 hxd jpharmsci.1994.1085
TrainData_158 CCCC(C)O -0.39 -0.264 4.480 133.098 cyc jpharmsci.1994.1085
TrainData_159 CCCC(CC)O 0.36 0.305 4.480 149.859 hxd jpharmsci.1994.1085
TrainData_160 CCCC=C 3.28 3.177 0.579 119.584 hxd jpharmsci.1994.1085
TrainData_161 CCCC=O -0.06 0.014 3.380 108.936 hxd jpharmsci.1994.1085
TrainData_162 CCCCBr 2.82 2.892 1.090 126.235 hxd jpharmsci.1994.1085
TrainData_163 CCCCC 3.87 3.949 0.000 125.262 hxd jpharmsci.1994.1085
TrainData_163 CCCCC 4.06 3.949 0.000 125.262 alk jpharmsci.1994.1085
TrainData_163 CCCCC 4.27 3.949 0.000 125.262 cyc jpharmsci.1994.1085
TrainData_164 CCCCC#C 2.72 2.738 1.474 132.995 hxd jpharmsci.1994.1085
TrainData_165 CCCCC#N 0.53 0.590 3.390 126.162 hxd jpharmsci.1994.1085
TrainData_166 CCCCC(=O)C 0.85 0.977 3.720 147.260 hxd jpharmsci.1994.1085
TrainData_166 CCCCC(=O)C 1.00 0.977 3.720 147.260 alk jpharmsci.1994.1085
TrainData_166 CCCCC(=O)C 1.12 0.977 3.720 147.260 cyc jpharmsci.1994.1085
TrainData_167 CCCCC(=O)CCCC 2.76 2.883 3.720 203.329 hxd jpharmsci.1994.1085
TrainData_168 CCCCC(=O)O -0.92 -1.176 5.520 136.862 alk jpharmsci.1994.1085
TrainData_168 CCCCC(=O)O -1.10 -1.176 5.520 136.862 cyc jpharmsci.1994.1085
TrainData_168 CCCCC(=O)O -1.14 -1.176 5.520 136.862 hxd jpharmsci.1994.1085
TrainData_169 CCCCC(=O)OC 1.51 1.499 3.520 156.724 hxd jpharmsci.1994.1085
TrainData_169 CCCCC(=O)OC 1.81 1.499 3.520 156.724 cyc jpharmsci.1994.1085
TrainData_170 CCCCC(=O)OCC 1.94 2.183 3.520 176.843 hxd jpharmsci.1994.1085
TrainData_171 CCCCC(C)C 5.15 5.095 0.000 158.973 hxd jpharmsci.1994.1085
TrainData_172 CCCCC(C)CC 5.69 5.666 0.000 175.759 hxd jpharmsci.1994.1085
TrainData_173 CCCCC(C)O 0.23 0.375 4.480 151.896 cyc jpharmsci.1994.1085
TrainData_173 CCCCC(C)O 0.32 0.375 4.480 151.896 alk jpharmsci.1994.1085
TrainData_174 CCCCC=C 3.73 3.823 0.579 138.589 hxd jpharmsci.1994.1085
TrainData_175 CCCCC=O 0.63 0.655 3.380 127.795 hxd jpharmsci.1994.1085
TrainData_176 CCCCCBr 3.54 3.531 1.090 145.026 hxd jpharmsci.1994.1085
TrainData_177 CCCCCC 4.49 4.602 0.000 144.458 hxd jpharmsci.1994.1085
TrainData_177 CCCCCC 4.58 4.602 0.000 144.458 alk jpharmsci.1994.1085
TrainData_178 CCCCCC#C 3.44 3.377 1.474 151.791 hxd jpharmsci.1994.1085
TrainData_179 CCCCCC(=O)C 1.53 1.610 3.720 165.881 hxd jpharmsci.1994.1085
TrainData_179 CCCCCC(=O)C 1.67 1.610 3.720 165.881 alk jpharmsci.1994.1085
TrainData_179 CCCCCC(=O)C 1.78 1.610 3.720 165.881 cyc jpharmsci.1994.1085
TrainData_180 CCCCCC(=O)O -0.49 -0.533 5.520 155.786 alk jpharmsci.1994.1085
TrainData_180 CCCCCC(=O)O -0.64 -0.533 5.520 155.786 hxd jpharmsci.1994.1085
TrainData_181 CCCCCC(=O)OC 2.04 2.139 3.520 175.558 hxd jpharmsci.1994.1085
TrainData_181 CCCCCC(=O)OC 2.39 2.139 3.520 175.558 cyc jpharmsci.1994.1085
TrainData_182 CCCCCC(=O)OCC 2.61 2.835 3.520 196.015 hxd jpharmsci.1994.1085
TrainData_183 CCCCCC=C 4.28 4.468 0.579 157.554 hxd jpharmsci.1994.1085
TrainData_184 CCCCCC=O 1.30 1.298 3.380 146.700 hxd jpharmsci.1994.1085
TrainData_185 CCCCCCBr 4.26 4.177 1.090 164.036 hxd jpharmsci.1994.1085
TrainData_186 CCCCCCC 5.14 5.247 0.000 163.444 hxd jpharmsci.1994.1085
TrainData_187 CCCCCCC#C 4.04 4.033 1.474 171.087 hxd jpharmsci.1994.1085
TrainData_188 CCCCCCC(=O)C 2.15 2.255 3.720 184.858 hxd jpharmsci.1994.1085
TrainData_189 CCCCCCC(=O)O -0.06 0.115 5.520 174.862 hxd jpharmsci.1994.1085
TrainData_189 CCCCCCC(=O)O -0.13 0.115 5.520 174.862 alk jpharmsci.1994.1085
TrainData_190 CCCCCCC=C 4.98 5.104 0.579 176.249 hxd jpharmsci.1994.1085
TrainData_191 CCCCCCC=O 1.91 1.957 3.380 166.078 hxd jpharmsci.1994.1085
TrainData_192 CCCCCCCBr 4.91 4.823 1.090 183.014 hxd jpharmsci.1994.1085
TrainData_193 CCCCCCCC 5.79 5.889 0.000 182.322 hxd jpharmsci.1994.1085
TrainData_194 CCCCCCCC#C 4.73 4.665 1.474 189.665 hxd perkin2.1990.291
TrainData_195 CCCCCCCC(=O)C 2.91 2.889 3.720 203.498 hxd jpharmsci.1994.1085
TrainData_196 CCCCCCCC(=O)O 0.56 0.743 5.520 193.337 hxd perkin2.1990.291
TrainData_197 CCCCCCCC=C 5.58 5.759 0.579 195.523 hxd jpharmsci.1994.1085
TrainData_198 CCCCCCCC=O 2.68 2.593 3.380 184.802 hxd jpharmsci.1994.1085
TrainData_199 CCCCCCCCBr 5.47 5.470 1.090 202.065 hxd perkin2.1990.291
TrainData_200 CCCCCCCCC 6.49 6.531 0.000 201.198 hxd jpharmsci.1994.1085
TrainData_201 CCCCCCCCC(=O)C 3.53 3.547 3.720 222.866 hxd jpharmsci.1994.1085
TrainData_202 CCCCCCCCC=O 3.38 3.233 3.380 203.620 hxd jpharmsci.1994.1085
TrainData_203 CCCCCCCCCC 7.01 7.181 0.000 220.340 hxd jpharmsci.1994.1085
TrainData_204 CCCCCCCCCC(=O)C 4.15 4.180 3.720 241.472 hxd jpharmsci.1994.1085
TrainData_205 CCCCCCCCCC(=O)O 1.87 2.041 5.520 231.504 alk jpharmsci.1994.1085
TrainData_206 CCCCCCCCCCO 2.96 3.040 4.480 230.292 hxd jpharmsci.1994.1085
TrainData_207 CCCCCCCCCO 2.27 2.400 4.480 211.478 hxd jpharmsci.1994.1085
TrainData_208 CCCCCCCCN 1.84 2.130 4.230 196.182 hxd jpharmsci.1994.1085
TrainData_209 CCCCCCCCO 1.56 1.753 4.480 192.448 alk jpharmsci.1994.1085
TrainData_209 CCCCCCCCO 1.62 1.753 4.480 192.448 hxd jpharmsci.1994.1085
TrainData_210 CCCCCCCCl 4.49 4.498 1.260 178.459 hxd jpharmsci.1994.1085
TrainData_211 CCCCCCCI 5.29 5.247 0.860 188.742 hxd perkin2.1990.291
TrainData_212 CCCCCCCN 1.39 1.482 4.230 177.130 hxd jpharmsci.1994.1085
TrainData_213 CCCCCCCO 1.03 1.104 4.480 173.344 hxd jpharmsci.1994.1085
TrainData_213 CCCCCCCO 1.04 1.104 4.480 173.344 alk jpharmsci.1994.1085
TrainData_213 CCCCCCCO 1.12 1.104 4.480 173.344 cyc jpharmsci.1994.1085
TrainData_214 CCCCCCCl 3.78 3.819 1.260 158.503 hxd jpharmsci.1994.1085
TrainData_215 CCCCCCI 4.68 4.607 0.860 169.917 hxd jpharmsci.1994.1085
